unit,CSP_1,CSP_2,CSP_3,CSP_4,label
,-2.668146730013682,-0.6532644437653455,-1.166094065794606,-2.315737593029621,PATROL
,-2.438169169922465,-0.7617573573462222,-1.0739786409483003,-2.261562033679189,PATROL
,-2.4263557130405546,-0.6692858688390552,-1.1711220802492182,-2.412972273243196,PATROL
,-2.253815699977965,-0.7028522487226797,-1.253399877187707,-2.1689385578692555,PATROL
,-2.2805517161819133,-0.8680459209758185,-0.9964512878752999,-2.218115855974289,PATROL
,-2.555972118298498,-0.7667511633686586,-1.057180539215445,-2.2033781363257905,PATROL
,-2.161054500787197,-0.7742066162023682,-1.1140462219831477,-2.348641619442664,PATROL
,-2.212772621839418,-0.6814185475083875,-1.175197663132379,-2.577728721928778,PATROL
,-2.6335184308839676,-0.5598690856419971,-1.2627654213236108,-2.6034177934595606,PATROL
,-2.760021407417648,-0.6727383028505579,-1.0924285824306499,-2.396902913784902,PATROL
,-2.5387604954690914,-0.8582542372800381,-0.9354333836223224,-2.256478964671208,PATROL
,-1.9183882527419298,-0.9301357704504561,-1.0682239605391328,-2.16249143767445,PATROL
,-2.0334251658039237,-0.8954050507071397,-1.0375520937488307,-2.241015372880814,PATROL
,-2.4837903432779513,-0.7945024561937057,-0.9389163241955798,-2.607532176198195,PATROL
,-2.505345996354926,-0.8174580736043976,-0.9046430277213781,-2.6295110724576802,PATROL
,-2.6267019275570935,-0.9022424313343256,-0.8209201910648021,-2.5010617755523565,PATROL
,-2.4485099487896336,-0.7950988617372554,-0.9728443264367228,-2.4765241779562457,PATROL
,-2.3913513713600905,-0.7412053914503369,-1.0830510508870814,-2.3709289913914002,PATROL
,-2.241924334811685,-0.9050218268490985,-0.9843674732398158,-2.1581593201576905,PATROL
,-2.255581006070586,-1.026117278834516,-0.9129851971313067,-1.999026062610624,PATROL
,-2.051414660109744,-0.9031006043254312,-1.0093876960258317,-2.285786750638116,PATROL
,-2.5764172894584467,-0.5450424175978206,-1.2934915108504426,-2.6617560592011262,PATROL
,-2.66225224056165,-0.6433893566189471,-1.1185770498472438,-2.551604698404096,PATROL
,-2.37965613170944,-0.7667390887590007,-1.079317613327601,-2.2723966407632736,PATROL
,-2.260962405692284,-0.7881854648083272,-1.1076612443312623,-2.2004779448318814,PATROL
,-2.3115047720875626,-0.9000428984059009,-0.8965763150040171,-2.4490943809345906,PATROL
,-2.32120879440931,-0.9527128272720682,-0.8269787006103062,-2.5410562953873597,PATROL
,-2.468481706179519,-0.9889512621166695,-0.7929435173592034,-2.398994926318113,PATROL
,-2.318304448013954,-0.7944407874763372,-1.0523792521656383,-2.296407603069276,PATROL
,-2.5400746427976,-0.7482928013118603,-1.0635935053051113,-2.2754294874147436,PATROL
,-2.31212583353908,-0.7414671337292228,-1.1469442043347486,-2.2355876738474447,PATROL
,-2.507578798557622,-0.7015384412406293,-1.151028853890042,-2.2405340273556154,PATROL
,-2.6715607676491904,-0.800648768804809,-1.044854376878836,-2.0396426003274715,PATROL
,-2.6582291100474547,-0.9885878264097685,-0.8357788220877276,-2.0851433384438116,PATROL
,-2.3706481530755537,-0.7748454978967111,-1.0986860456099448,-2.1848364658358337,PATROL
,-2.3874629660828957,-0.8286391546049241,-0.9648601888213427,-2.4028696436127053,PATROL
,-2.617806225228359,-0.9099702555704248,-0.8358562552860955,-2.3969186454606666,PATROL
,-2.056709064419318,-0.8215891514243533,-1.0763564597716915,-2.3907773182183143,PATROL
,-2.4917400684291695,-0.676072267864711,-1.160435425574205,-2.351001422917008,PATROL
,-2.92116502409695,-0.7148015545478199,-1.001866204190002,-2.4118825979337926,PATROL
,-3.0308824547986606,-0.6747615065806924,-1.0144560589583973,-2.527611605023436,PATROL
,-2.762769663703375,-0.6170913281194846,-1.188678256772932,-2.377866613434645,PATROL
,-2.3561743677957523,-0.8456964669622333,-1.0712507919603003,-2.014554395746722,PATROL
,-2.5598759467454117,-0.8568034531213646,-1.0472351176025896,-1.915541011967585,PATROL
,-2.6780168421921813,-0.8944339771886695,-0.9117778728863977,-2.114840176464147,PATROL
,-2.5909334088377984,-0.8041084926636877,-0.9878113786307872,-2.2521539629473457,PATROL
,-2.547352437423643,-0.7035068410738484,-1.1124434965902827,-2.321668446379464,PATROL
,-2.3024239437935803,-0.7218263276868172,-1.1191781772616953,-2.435296973873729,PATROL
,-2.291885775778568,-0.8400216123496498,-0.9781001519105205,-2.394718802004733,PATROL
